,0.1-1.0,2.0-4.0,4.0-14.0,4.0-8.0,8.0-14.0
2019-11-02 16:30:01.860,1.01604897148e-06,1.59223142162e-10,9.80310441659e-11,9.08628195871e-11,3.64143444448e-11
2019-11-02 16:45:01.860,1.03721870018e-06,1.676295492e-10,1.17351102157e-10,1.08271288718e-10,4.43734056199e-11
2019-11-02 17:00:01.860,1.08895809349e-06,1.59569306982e-10,9.95762622856e-11,8.90373731825e-11,4.38013037646e-11
2019-11-02 17:15:01.860,1.04304358154e-06,1.4532425413e-10,6.6711676359e-11,5.40971106711e-11,3.86486512453e-11
2019-11-02 17:30:01.860,9.70874586131e-07,1.42119383516e-10,5.88694347229e-11,4.92730455201e-11,3.20099152692e-11
2019-11-02 17:45:01.860,1.00259970042e-06,1.42922557279e-10,5.6344223456e-11,4.72842599034e-11,3.04247792947e-11
2019-11-02 18:00:01.860,1.09919630671e-06,1.41518255072e-10,5.73908270979e-11,4.74430968797e-11,3.20433151412e-11
2019-11-02 18:15:01.860,1.127347831e-06,1.4219234112e-10,5.82321688794e-11,4.89526214603e-11,3.12911009092e-11
2019-11-02 18:30:01.860,1.13175467193e-06,1.38084753907e-10,5.53736574313e-11,4.66820247246e-11,2.95516899412e-11
2019-11-02 18:45:01.860,1.12270906257e-06,1.29930857468e-10,5.43694492275e-11,4.45994751538e-11,3.08704773233e-11
2019-11-02 19:00:01.860,1.13856994608e-06,1.317749578e-10,5.34700716526e-11,4.43568165003e-11,2.96491206064e-11
2019-11-02 19:15:01.860,1.09592343145e-06,1.33467865955e-10,5.22005594593e-11,4.36814451924e-11,2.83344174167e-11
2019-11-02 19:30:01.860,1.11551236521e-06,1.32847131439e-10,5.07700305644e-11,4.35846051834e-11,2.57796222831e-11
2019-11-02 19:45:01.860,1.16475931126e-06,1.28001458823e-10,5.25298856657e-11,4.47164093736e-11,2.72799718351e-11
2019-11-02 20:00:01.860,1.10002963996e-06,1.25297641122e-10,5.1915666223e-11,4.34350916445e-11,2.81600543078e-11
2019-11-02 20:15:01.860,1.1039662725e-06,1.25523959045e-10,5.43112597031e-11,4.5107053247e-11,3.00099594737e-11
2019-11-02 20:30:01.860,1.21259348967e-06,1.24348799387e-10,5.51688422436e-11,4.56430255248e-11,3.07463910742e-11
2019-11-02 20:45:01.860,1.22739892803e-06,1.2205448199e-10,5.42861266741e-11,4.71801393815e-11,2.65908754062e-11
2019-11-02 21:00:01.860,1.22883285942e-06,1.36475865067e-10,5.57044151913e-11,4.94977912363e-11,2.52425181893e-11
2019-11-02 21:15:01.860,1.1787588153e-06,1.85150709423e-10,5.94520378483e-11,5.29872285883e-11,2.6625616261e-11
2019-11-02 21:30:01.860,1.13011092851e-06,1.75721863129e-10,6.10389875233e-11,5.4641715247e-11,2.68326134433e-11
2019-11-02 21:45:01.860,1.30468419933e-06,1.56104914573e-10,6.34008583082e-11,5.74911557344e-11,2.63300541917e-11
2019-11-02 22:00:01.860,1.39358828807e-06,1.66651194228e-10,6.5059251315e-11,5.95489056945e-11,2.58093777977e-11
2019-11-02 22:15:01.860,1.22230154384e-06,1.78528807086e-10,6.61692114687e-11,6.06827483724e-11,2.59880675245e-11
2019-11-02 22:30:01.860,1.17917669838e-06,1.38385724385e-10,6.78902217591e-11,6.20912784307e-11,2.70533747839e-11
2019-11-02 22:45:01.860,1.16985087734e-06,1.35331675847e-10,6.94321742455e-11,6.37854964634e-11,2.70045733054e-11
2019-11-02 23:00:01.860,1.28615856542e-06,1.36087418196e-10,6.98323037791e-11,6.44287988635e-11,2.65069116324e-11
2019-11-02 23:15:01.860,1.34261484568e-06,1.35098902124e-10,6.99220540261e-11,6.3338352107e-11,2.92320087094e-11
2019-11-03 00:00:00.890,1.35946268495e-06,1.28290916503e-10,6.54559769744e-11,5.81865797193e-11,2.96022257856e-11
2019-11-03 00:15:00.890,1.31828847857e-06,1.24680741735e-10,6.38300743957e-11,5.77090568444e-11,2.69066943805e-11
2019-11-03 00:30:00.890,1.32011221257e-06,1.18538084555e-10,6.50624974558e-11,5.9466166953e-11,2.60283371536e-11
2019-11-03 00:45:00.890,1.33762947483e-06,1.13026680929e-10,6.73700424819e-11,6.12874977875e-11,2.76772305942e-11
2019-11-03 01:00:00.890,1.26550959543e-06,1.15779715971e-10,6.64824790335e-11,6.13859087433e-11,2.52564911199e-11
2019-11-03 01:15:00.890,1.30924388661e-06,1.17649650502e-10,6.62907099933e-11,6.18775859892e-11,2.34901481405e-11
2019-11-03 01:30:00.890,1.30584391666e-06,1.16233439642e-10,6.59473587392e-11,6.0868227504e-11,2.50687152002e-11
2019-11-03 01:45:00.890,1.3262240604e-06,1.15014479651e-10,6.1900884381e-11,5.65458468107e-11,2.49003397207e-11
