,4.0-14.0,5.0-20.0
2019-12-10 21:44:54.990000,1.22140055608e-08,6.69033904144e-09
2019-12-10 21:59:54.990000,6.59575629585e-09,3.69425261728e-09
2019-12-10 22:14:54.990000,1.82423541891e-09,1.42868600384e-09
2019-12-10 22:29:54.990000,1.75016878062e-09,1.35599366197e-09
2019-12-10 22:44:54.990000,1.83845099335e-09,1.38251979662e-09
2019-12-10 22:59:54.990000,1.84370553797e-09,1.35949859892e-09
2019-12-10 23:14:54.990000,1.38476070784e-09,1.08598281282e-09
2019-12-10 23:29:54.990000,1.3182763638e-09,1.03265338994e-09
2019-12-10 23:44:54.990000,1.27322684241e-09,9.95035734225e-10
2019-12-10 23:59:54.990000,1.34375592897e-09,1.02142968805e-09
2019-12-10 23:59:57.129999,1.34437579411e-09,1.02123871878e-09
2019-12-11 00:14:57.129999,1.3500577575e-09,9.22607294277e-10
2019-12-11 00:29:57.129999,1.15236356593e-09,8.97366421894e-10
2019-12-11 00:44:57.129999,1.15683118715e-09,8.95619693662e-10
2019-12-11 00:59:57.129999,1.08427187696e-09,8.18261332067e-10
2019-12-11 01:14:57.129999,1.1159921866e-09,8.38651466315e-10
2019-12-11 01:29:57.129999,1.85985654423e-09,1.66275997448e-09
2019-12-11 01:44:57.129999,1.85917387968e-09,1.67156216325e-09
2019-12-11 01:59:57.129999,1.26577186119e-09,9.65342640752e-10
2019-12-11 02:14:57.129999,1.79200402784e-09,1.41028106969e-09
2019-12-11 02:29:57.129999,2.36081386268e-09,2.01319952438e-09
2019-12-11 02:44:57.129999,2.7054998563e-09,2.27897428598e-09
2019-12-11 02:59:57.129999,3.21295317862e-09,2.62171989166e-09
2019-12-11 03:14:57.129999,3.9991316422e-09,3.41475427966e-09
2019-12-11 03:29:57.129999,4.70182849735e-09,3.71876884926e-09
2019-12-11 03:44:57.129999,5.54004251846e-09,3.9214057363e-09
2019-12-11 03:59:57.129999,6.52690489206e-09,4.88798377428e-09
2019-12-11 04:14:57.129999,8.09698469979e-09,6.27551251302e-09
2019-12-11 04:29:57.129999,9.5711048246e-09,7.8069740179e-09
2019-12-11 04:44:57.129999,1.17997204873e-08,9.50474574003e-09
2019-12-11 04:59:57.129999,1.10127168472e-08,8.87831046855e-09
2019-12-11 05:14:57.129999,1.13296779866e-08,9.12590891756e-09
2019-12-11 05:29:57.129999,1.15976774953e-08,9.32119390854e-09
2019-12-11 05:44:57.129999,1.01778126046e-08,8.02108547047e-09
2019-12-11 05:59:57.129999,1.17308479078e-08,8.45634104171e-09
2019-12-11 06:14:57.129999,1.19401429511e-08,8.1973069796e-09
2019-12-11 06:29:57.129999,1.11104535489e-08,7.99497923083e-09
2019-12-11 06:44:57.129999,1.11479612011e-08,8.55775559439e-09
2019-12-11 06:59:57.129999,1.35741253642e-08,1.02193593387e-08
2019-12-11 07:14:57.129999,1.2492088601e-08,8.96026934227e-09
2019-12-11 07:29:57.129999,1.14114387869e-08,8.53928332189e-09
2019-12-11 07:44:57.129999,1.09851542267e-08,7.73272797962e-09
2019-12-11 07:59:57.129999,9.63748776134e-09,7.27283384625e-09
2019-12-11 08:14:57.129999,1.30982976288e-08,8.59005258651e-09
2019-12-11 08:29:57.129999,1.40913858657e-08,8.96395921747e-09
2019-12-11 08:44:57.129999,1.42770009628e-08,9.2942161052e-09
2019-12-11 08:59:57.129999,1.10814109726e-08,8.25244432467e-09
2019-12-11 09:14:57.129999,1.02527215252e-08,7.47226707034e-09
2019-12-11 09:29:57.129999,1.13605553193e-08,8.53405327365e-09
2019-12-11 09:44:57.129999,1.24619159029e-08,8.71983635534e-09
2019-12-11 09:59:57.129999,1.30841938249e-08,8.7462816142e-09
2019-12-11 10:14:57.129999,1.38299463053e-08,8.83490671118e-09
2019-12-11 10:29:57.129999,1.19049496211e-08,8.34913627864e-09
2019-12-11 10:44:57.129999,1.15164892521e-08,8.89323792147e-09
2019-12-11 10:59:57.129999,1.28655804481e-08,9.14789520007e-09
2019-12-11 11:14:57.129999,1.28412144897e-08,8.95099127205e-09
2019-12-11 11:29:57.129999,1.0540152115e-08,8.13236056983e-09
2019-12-11 11:44:57.129999,1.07702002138e-08,8.05184734703e-09
2019-12-11 11:59:57.129999,9.83240046248e-09,7.85266414414e-09
2019-12-11 12:14:57.129999,1.01248353547e-08,7.9811233941e-09
2019-12-11 12:29:57.129999,9.11434226478e-09,7.2383660109e-09
2019-12-11 12:44:57.129999,9.45526812855e-09,7.73337964972e-09
